104.6
92.2
77.4
59.5
57.2
66.8
74.3
84.9
93.0
87.4
93.5
102.9
129.4
166.0
203.1
224.6
228.2
227.8
249.9
274.8
272.8
300.2
347.3
367.7
389.7
391.1
426.2
450.1
474.9
482.0
522.5
543.3
563.3
605.1
638.6
685.8
743.7
815.0
861.7
942.5
"1,019.9"
"1,075.9"
"1,167.8"
"1,282.4"
"1,428.5"
"1,548.8"
"1,688.9"
"1,877.6"
"2,086.0"
"2,356.6"
"2,632.1"
"2,862.5"
"3,211.0"
"3,345.0"
"3,638.1"
"4,040.7"
"4,346.7"
"4,590.2"
"4,870.2"
"5,252.6"
"5,657.7"
"5,979.6"
"6,174.0"
"6,539.3"
"6,878.7"
"7,308.8"
"7,664.1"
"8,100.2"
"8,608.5"
"9,089.2"
"9,660.6"
"10,284.8"
"10,621.8"
"10,977.5"
"11,510.7"
"12,274.9"
"13,093.7"
"13,855.9"
"14,477.6"
"14,718.6"
"14,418.7"
"14,964.4"
"15,517.9"
"16,155.3"
"16,691.5"
"17,393.1"
"18,036.6"
"18,565.6"
